order_id,customer_id,product,quantity,unit_price,order_date,status
101,1,Laptop,1,15000.00,2024-03-10,tamamlandi
102,2,Telefon,-2,8000.00,2024-04-15,Tamamlandi
103,3,Tablet,1,5000.00,2024-05-20,TAMAMLANDI
104,1,Mouse,3,250.00,2024-06-01,beklemede
105,5,Klavye,2,500.00,2024-07-10,Beklemede
106,99,Monitor,1,12000.00,2024-08-15,tamamlandi
107,4,Kulaklik,0,750.00,15/09/2024,iptal
108,2,SSD Disk,1,3000.00,2024-10-20,tamamlandi
109,7,RAM Bellek,2,,2024-11-05,beklemede
110,1,Laptop,1,15000.00,2024-03-10,tamamlandi
111,8,Webcam,1,1500.00,2024-12-01,IPTAL
112,6,Hoparlor,abc,800.00,2024-12-15,tamamlandi
